,MAC,SSID,Frequncy,Signal,Lat,Lon,Alt,TIME,Approx. w-center algo1,
0,00:1a:dd:e3:06:e4,afikim-wifi,1,-78,32.10252980407737,35.20731989055549,699.8860444902846,03/12/2017 08:37,Approx. w-center algo1,
1,d8:fe:e3:03:5a:31,Moria,6,-83,32.10253058645726,35.20730738013259,699.7521498326602,03/12/2017 08:37,Approx. w-center algo1,
2,00:27:19:e3:2d:fe,AUC_51_3,1,-86,32.1025333,35.20726399,699.2877605,03/12/2017 08:37,Approx. w-center algo1,
3,00:25:86:cc:00:f8,AUC_54_R,5,-86,32.1036511338293,35.20818645055072,693.5284770476239,03/12/2017 08:37,Approx. w-center algo1,
4,14:ae:db:32:52:12,surikat,6,-89,32.1025333,35.20726399,699.2877605,03/12/2017 08:37,Approx. w-center algo1,
5,1c:b9:c4:16:f1:98,Ariel_University,11,-90,32.102472918155904,35.20897647465062,701.6030648481269,03/12/2017 08:37,Approx. w-center algo1,
6,34:0b:01:19:21:42,afikim-wifi,7,-91,32.1025333,35.20726399,699.2877605,03/12/2017 08:37,Approx. w-center algo1,
7,a0:4f:d4:3b:e9:01,Lidor a,6,-84,32.10252819,35.2073457,700.1622739,03/12/2017 08:37,Approx. w-center algo1,
8,14:ae:db:3a:64:05,tanya,1,-86,32.10252819,35.2073457,700.1622739,03/12/2017 08:37,Approx. w-center algo1,
9,10:be:f5:3b:68:2c,Hagar,11,-87,32.10252819,35.2073457,700.1622739,03/12/2017 08:37,Approx. w-center algo1,
10,1c:b9:c4:16:f4:7c,Ariel_University,36,-91,32.10295814502153,35.20922031054228,703.4934798252619,03/12/2017 08:46,Approx. w-center algo1,
11,ec:8c:a2:08:a9:38,Ariel_University,6,-88,32.10276969128207,35.20753617370849,695.1730814227402,03/12/2017 08:37,Approx. w-center algo1,
12,00:21:04:4c:2a:a2,Yan,6,-89,32.10252819,35.2073457,700.1622739,03/12/2017 08:37,Approx. w-center algo1,
13,a0:4f:d4:3a:a0:e1,Cellcom-WiFi_0123,11,-89,32.10252819,35.2073457,700.1622739,03/12/2017 08:37,Approx. w-center algo1,
14,ec:8c:a2:08:94:1c,Ariel_University,44,-91,32.10311377512081,35.20841954728454,701.0486303183849,03/12/2017 08:50,Approx. w-center algo1,
15,ec:8c:a2:08:94:18,Ariel_University,1,-88,32.10301245283093,35.20914799995856,694.8894832205847,03/12/2017 08:54,Approx. w-center algo1,
16,d0:0f:6d:f1:35:2f,Sveta,4,-85,32.10251814,35.20734901,698.9056862,03/12/2017 08:37,Approx. w-center algo1,
17,a0:ab:1b:59:55:54,ear,1,-85,32.10251814,35.20734901,698.9056862,03/12/2017 08:37,Approx. w-center algo1,
18,b0:48:7a:a1:80:8c,Knoch,4,-86,32.10251814,35.20734901,698.9056862,03/12/2017 08:37,Approx. w-center algo1,
19,10:be:f5:39:8f:f2,LARISA,3,-86,32.10251814,35.20734901,698.9056862,03/12/2017 08:37,Approx. w-center algo1,
20,00:12:2a:39:2c:3c,netbox-550b,1,-86,32.10251814,35.20734901,698.9056862,03/12/2017 08:37,Approx. w-center algo1,
21,10:be:f5:a7:b4:f4,Home,7,-87,32.10251814,35.20734901,698.9056862,03/12/2017 08:37,Approx. w-center algo1,
22,1c:b9:c4:96:f1:97, ,60,-88,32.10229102318592,35.20893378685792,699.60545254732,03/12/2017 08:37,Approx. w-center algo1,
23,ec:8c:a2:08:78:cc,Ariel_University,48,-91,32.10303215598723,35.20857983527088,709.303121197812,03/12/2017 08:46,Approx. w-center algo1,
24,1c:b9:c4:16:d2:88,Ariel_University,11,-92,32.103512423106764,35.208353172675935,697.3195816904259,03/12/2017 08:37,Approx. w-center algo1,
25,14:ae:db:43:88:35,BEZEQINT-8831,6,-85,32.10251582,35.20733918,697.9931738,03/12/2017 08:37,Approx. w-center algo1,
26,ec:8c:a2:09:03:38,Ariel_University,1,-85,32.10281447258352,35.20758104643376,693.2074095914419,03/12/2017 08:37,Approx. w-center algo1,
